               0          1        2        3        4        5        6        7        8        9        10       11       12      13      14      15      16      17      18      19      20      21      22      23      24      25      26
0      ICD9CMCode  TotalDiag      dx0      dx1      dx2      dx3      dx4      dx5      dx6      dx7      dx8      dx9     dx10    dx11    dx12    dx13    dx14    dx15    dx16    dx17    dx18    dx19    dx20    dx21    dx22    dx23    dx24
1           001.0          1      NaN      NaN      NaN      NaN      NaN        1      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
2           001.9          4      NaN      NaN      NaN      NaN      NaN        4      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
3           002.0         46       25       11        2        5      NaN        1        1        1      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
4           002.1          2        1        1      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
5           002.9          2        1        1      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
6           003.0        523      310       66       32       24       19       26       15        8        8        4        6       3     NaN     NaN     NaN     NaN       1     NaN       1     NaN     NaN     NaN     NaN     NaN     NaN
7           003.1        149      128       11        3        2        2      NaN        1      NaN      NaN      NaN      NaN       1     NaN     NaN     NaN     NaN     NaN       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN
8          003.20          2        1      NaN      NaN      NaN        1      NaN      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
9          003.21          4        2        2      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
10         003.22          3      NaN        1      NaN        1        1      NaN      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
11         003.23          2        1      NaN      NaN      NaN      NaN      NaN      NaN      NaN        1      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
12         003.24          7        4        3      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
13         003.29          6      NaN        1        1        1        1        1        1      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
14          003.8         16        4        2        2        3      NaN        1        2      NaN        1        1      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
15          003.9        125       36       34       12        7        8        7        5        6        3        2      NaN     NaN       2     NaN     NaN     NaN     NaN       2     NaN     NaN     NaN       1     NaN     NaN     NaN
16          004.0         16        9        2        1      NaN        1        1      NaN        1        1      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
17          004.1         27       12      NaN        2      NaN        3      NaN        1        5      NaN        1      NaN     NaN     NaN     NaN       2       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
18          004.2          1        1      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
19          004.3         48       32        3        4        1        2        1      NaN        1      NaN      NaN        1     NaN     NaN       1     NaN     NaN     NaN     NaN     NaN       2     NaN     NaN     NaN     NaN     NaN
20          004.8         53       27        1        4        5        4        2        2        2      NaN        2        2     NaN     NaN     NaN       1     NaN       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
21          004.9        112       48        8       13        4        6        4        6        5        2        4        2       2       1     NaN       1       1     NaN       1       1       1     NaN       1       1     NaN     NaN
22          005.0          5        4      NaN      NaN        1      NaN      NaN      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
23          005.1          9        4      NaN        1        1        1        1        1      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
24          005.3          1      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN        1      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
25          005.4          3        1        2      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
26         005.89         31       12      NaN        6        1        4        1        1        1        3        1      NaN       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
27          005.9        579      251       70       57       45       26       33       21       17       14        7       10       2       7       3       3       3       2       1       3       1       2     NaN     NaN       1     NaN
28          006.0          1      NaN      NaN        1      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
29          006.1          3      NaN      NaN        1        1      NaN      NaN      NaN      NaN      NaN        1      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
30          006.2          2        1      NaN      NaN      NaN      NaN      NaN      NaN        1      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
31          006.3         24        9       13      NaN        1      NaN      NaN      NaN      NaN      NaN      NaN      NaN     NaN     NaN       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
32          006.6          1      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN        1      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
33          006.8          2        1      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN        1      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
34          006.9         12        3        1        1      NaN        1        1        2        1      NaN        1      NaN       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
35          007.0          2      NaN      NaN        1      NaN        1      NaN      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
36          007.1         84       24       18        4        6        5        5        9        1        2        1        2       1       4       2     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
37          007.2         12        1        3        2        3        1        1        1      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
38          007.3          1      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN     NaN       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
39          007.4         91       19       16        9       16        8        6        5        2        3        4      NaN       1     NaN     NaN     NaN     NaN       1     NaN       1     NaN     NaN     NaN     NaN     NaN     NaN
